index,Order Id,shipping date (DateOrders),Shipping Mode,Days for shipping (real),Days for shipment (scheduled),Delivery Status,Late_delivery_risk
66,18108,9/26/2015 7:41,Second Class,4,2,Late delivery,1
67,62571,7/4/2017 9:03,Second Class,2,2,Shipping on time,0
68,17162,9/11/2015 12:15,Second Class,3,2,Late delivery,1
69,65922,8/23/2017 7:03,Second Class,3,2,Late delivery,1
71,64813,8/8/2017 2:31,Second Class,4,2,Late delivery,1
72,67892,9/21/2017 1:14,Second Class,3,2,Late delivery,1
73,12525,7/8/2015 19:42,Second Class,6,2,Late delivery,1
74,5895,4/3/2015 0:55,Second Class,6,2,Late delivery,1
75,56359,4/7/2017 16:43,Second Class,5,2,Late delivery,1
76,58613,5/9/2017 14:23,Second Class,4,2,Late delivery,1
77,7824,4/30/2015 4:44,Second Class,5,2,Late delivery,1
78,7814,4/30/2015 1:14,Second Class,5,2,Late delivery,1
80,60807,6/9/2017 15:03,Second Class,3,2,Late delivery,1
81,53413,2/22/2017 16:36,Second Class,4,2,Late delivery,1
82,7888,4/30/2015 3:10,Second Class,4,2,Late delivery,1
83,6783,4/14/2015 0:02,Second Class,4,2,Late delivery,1
84,56973,4/15/2017 15:49,Second Class,4,2,Late delivery,1
86,55155,3/22/2017 2:54,Second Class,6,2,Late delivery,1
87,5991,3/31/2015 10:33,Second Class,2,2,Shipping on time,0
88,2263,2/7/2015 0:28,Second Class,4,2,Late delivery,1
90,53403,2/22/2017 13:05,Second Class,4,2,Late delivery,1
91,51298,1/22/2017 19:37,Second Class,4,2,Late delivery,1
92,4919,3/18/2015 18:59,Standard Class,5,4,Late delivery,1
93,52640,2/13/2017 9:47,Standard Class,6,4,Late delivery,1
94,6358,4/7/2015 19:08,Standard Class,4,4,Shipping on time,0
95,57106,4/15/2017 14:25,Standard Class,2,4,Advance shipping,0
96,6245,4/8/2015 3:33,Standard Class,6,4,Late delivery,1
97,52166,2/2/2017 11:43,Standard Class,2,4,Advance shipping,0
98,56172,4/2/2017 23:12,Standard Class,3,4,Advance shipping,0
99,55829,3/30/2017 23:02,Standard Class,5,4,Late delivery,1
100,52478,2/9/2017 1:01,Standard Class,4,4,Shipping on time,0
101,57242,4/18/2017 14:04,Standard Class,3,4,Advance shipping,0
102,3137,2/18/2015 18:40,Standard Class,3,4,Advance shipping,0
103,60127,5/30/2017 16:48,Standard Class,3,4,Advance shipping,0
104,3828,3/1/2015 20:46,Standard Class,4,4,Shipping on time,0
105,60386,6/2/2017 11:33,Standard Class,2,4,Advance shipping,0
106,973,1/19/2015 4:32,Standard Class,4,4,Shipping on time,0
107,57999,5/1/2017 15:16,Standard Class,5,4,Late delivery,1
108,54585,3/13/2017 19:12,Standard Class,6,4,Late delivery,1
109,57598,4/24/2017 18:47,Standard Class,4,4,Shipping on time,0
110,54274,3/8/2017 6:14,Standard Class,5,4,Late delivery,1
111,60673,6/8/2017 16:06,Standard Class,4,4,Shipping on time,0
112,59387,5/19/2017 21:33,Standard Class,3,4,Advance shipping,0
114,10007,5/30/2015 1:32,Standard Class,3,4,Advance shipping,0
115,55984,4/2/2017 5:20,Standard Class,5,4,Late delivery,1
117,58375,5/8/2017 3:00,Standard Class,6,4,Late delivery,1
118,56448,4/7/2017 23:53,Standard Class,4,4,Shipping on time,0
119,8221,5/2/2015 23:49,Standard Class,2,4,Advance shipping,0
120,58034,5/2/2017 3:32,Standard Class,5,4,Late delivery,1
121,2203,2/6/2015 3:27,Standard Class,4,4,Shipping on time,0
122,53069,2/18/2017 16:05,Standard Class,5,4,Late delivery,1
123,60146,5/29/2017 23:28,Standard Class,2,4,Advance shipping,0
124,55409,3/24/2017 19:53,Standard Class,5,4,Late delivery,1
125,8678,5/11/2015 15:56,Standard Class,4,4,Shipping on time,0
126,7980,5/3/2015 11:23,Standard Class,6,4,Late delivery,1
127,57185,4/20/2017 18:06,Standard Class,6,4,Late delivery,1
128,8636,5/9/2015 1:13,Standard Class,2,4,Advance shipping,0
129,61192,6/15/2017 5:55,Standard Class,3,4,Advance shipping,0
130,55876,3/28/2017 15:30,Standard Class,2,4,Advance shipping,0
131,53331,2/19/2017 11:52,Standard Class,2,4,Advance shipping,0
132,51725,1/31/2017 1:13,Standard Class,6,4,Late delivery,1
133,52562,2/9/2017 6:27,Standard Class,3,4,Advance shipping,0
134,59754,5/27/2017 6:08,Standard Class,5,4,Late delivery,1
135,53574,2/26/2017 1:00,Standard Class,5,4,Late delivery,1
136,399,1/11/2015 19:26,Standard Class,5,4,Late delivery,1
137,51050,1/21/2017 4:44,Second Class,6,2,Late delivery,1
138,45680,11/3/2016 19:23,Second Class,6,2,Late delivery,1
139,42992,9/22/2016 13:39,Second Class,3,2,Late delivery,1
140,41304,8/30/2016 22:16,Second Class,5,2,Late delivery,1
142,44253,10/11/2016 23:26,Second Class,4,2,Late delivery,1
143,46098,11/7/2016 21:49,Second Class,4,2,Late delivery,1
145,71077,11/6/2017 13:05,Second Class,3,2,Late delivery,1
146,69703,10/18/2017 11:42,Second Class,4,2,Late delivery,1
147,71112,11/7/2017 1:21,Second Class,3,2,Late delivery,1
148,69810,10/22/2017 1:12,Second Class,6,2,Late delivery,1
149,71092,11/6/2017 18:20,Second Class,3,2,Late delivery,1
150,69610,10/19/2017 3:08,Second Class,6,2,Late delivery,1
151,71000,11/8/2017 10:06,Second Class,6,2,Late delivery,1
152,70734,11/3/2017 12:55,Second Class,5,2,Late delivery,1
153,69626,10/15/2017 8:44,Second Class,2,2,Shipping on time,0
154,69482,10/14/2017 6:17,Second Class,3,2,Late delivery,1
155,70769,11/4/2017 1:10,Second Class,5,2,Late delivery,1
156,69643,10/17/2017 14:41,Second Class,4,2,Late delivery,1
157,71051,11/5/2017 3:58,Second Class,2,2,Shipping on time,0
158,69408,10/14/2017 4:21,Second Class,4,2,Late delivery,1
159,71123,11/8/2017 5:12,Second Class,4,2,Late delivery,1
160,70534,10/31/2017 14:51,Second Class,5,2,Late delivery,1
161,69641,10/15/2017 13:59,Second Class,2,2,Shipping on time,0
162,70960,11/7/2017 20:05,Second Class,6,2,Late delivery,1
163,69908,10/21/2017 11:32,Second Class,4,2,Late delivery,1
164,70957,11/4/2017 19:02,Second Class,3,2,Late delivery,1
165,69637,10/16/2017 12:35,Second Class,3,2,Late delivery,1
166,70955,11/7/2017 18:20,Second Class,6,2,Late delivery,1
167,70919,11/6/2017 5:44,Second Class,5,2,Late delivery,1
168,71009,11/7/2017 13:15,Second Class,5,2,Late delivery,1
169,69653,10/17/2017 18:11,Second Class,4,2,Late delivery,1
170,69527,10/14/2017 22:03,Second Class,3,2,Late delivery,1
171,71080,11/9/2017 14:08,Second Class,6,2,Late delivery,1
172,70544,10/31/2017 18:21,Second Class,5,2,Late delivery,1
173,69471,10/13/2017 2:26,Second Class,2,2,Shipping on time,0
174,68879,10/7/2017 11:01,Second Class,5,2,Late delivery,1
175,67214,9/13/2017 3:42,Second Class,5,2,Late delivery,1
176,17810,9/23/2015 23:17,Second Class,6,2,Late delivery,1
177,18793,10/6/2015 7:40,Second Class,4,2,Late delivery,1
178,65109,8/13/2017 10:13,Second Class,5,2,Late delivery,1
179,15673,8/21/2015 18:35,Second Class,4,2,Late delivery,1
180,18183,9/27/2015 9:57,Second Class,4,2,Late delivery,1
181,20234,10/28/2015 8:31,Second Class,5,2,Late delivery,1
182,13139,7/16/2015 18:49,Second Class,5,2,Late delivery,1
183,33824,5/13/2016 17:42,Standard Class,5,4,Shipping canceled,0
184,31364,4/7/2016 19:51,Standard Class,5,4,Shipping canceled,0
185,40495,8/20/2016 2:51,Standard Class,6,4,Shipping canceled,0
187,34506,5/20/2016 16:38,Standard Class,2,4,Shipping canceled,0
188,33607,5/8/2016 13:40,Standard Class,3,4,Shipping canceled,0
189,32617,4/24/2016 2:50,Standard Class,3,4,Shipping canceled,0
190,37496,7/3/2016 8:10,Standard Class,2,4,Shipping canceled,0
192,49075,12/23/2016 8:48,Standard Class,6,4,Shipping canceled,0
195,41623,9/3/2016 14:02,Standard Class,4,4,Shipping canceled,0
196,39271,7/29/2016 6:01,Standard Class,2,4,Shipping canceled,0
197,38598,7/21/2016 10:14,Standard Class,4,4,Shipping canceled,0
198,37845,7/12/2016 10:26,Standard Class,6,4,Shipping canceled,0
199,42331,9/11/2016 22:05,Standard Class,2,4,Shipping canceled,0
200,41345,9/1/2016 12:38,Standard Class,6,4,Shipping canceled,0
201,51168,1/20/2017 22:04,Standard Class,4,4,Shipping canceled,0
203,43599,10/3/2016 10:19,Standard Class,5,4,Shipping canceled,0
204,41901,9/5/2016 15:26,Standard Class,2,4,Shipping canceled,0
205,42751,9/18/2016 1:13,Standard Class,2,4,Advance shipping,0
206,45088,10/24/2016 3:59,Standard Class,4,4,Shipping on time,0
207,50489,1/12/2017 0:11,Standard Class,5,4,Late delivery,1
208,44409,10/15/2016 6:06,Standard Class,5,4,Late delivery,1
209,42101,9/8/2016 13:30,Standard Class,2,4,Advance shipping,0
210,50424,1/11/2017 1:25,Standard Class,5,4,Late delivery,1
211,49825,1/3/2017 7:33,Standard Class,6,4,Late delivery,1
212,41294,8/30/2016 18:46,Standard Class,5,4,Late delivery,1
213,42023,9/9/2016 10:10,Standard Class,4,4,Shipping on time,0
214,47774,12/3/2016 9:00,Standard Class,5,4,Late delivery,1
215,41827,9/5/2016 13:30,Standard Class,3,4,Advance shipping,0
216,47193,11/23/2016 21:27,Standard Class,4,4,Shipping on time,0
217,42626,9/16/2016 5:26,Standard Class,2,4,Advance shipping,0
218,46199,11/10/2016 9:13,Standard Class,5,4,Late delivery,1
219,48468,12/12/2016 12:08,Standard Class,4,4,Shipping on time,0
220,51009,1/19/2017 14:22,Standard Class,5,4,Late delivery,1
221,46229,11/10/2016 19:43,Standard Class,5,4,Late delivery,1
222,42882,9/20/2016 23:07,Standard Class,3,4,Advance shipping,0
223,46827,11/17/2016 13:14,Standard Class,3,4,Advance shipping,0
224,48684,12/16/2016 15:49,Standard Class,5,4,Late delivery,1
226,46416,11/10/2016 13:14,Standard Class,2,4,Advance shipping,0
227,47343,11/26/2016 2:00,Standard Class,4,4,Shipping on time,0
228,41686,9/2/2016 12:06,Standard Class,2,4,Advance shipping,0
229,41896,9/5/2016 13:41,Standard Class,2,4,Advance shipping,0
230,28168,2/20/2016 4:09,Standard Class,4,4,Shipping on time,0
231,24992,1/3/2016 19:27,Standard Class,3,4,Advance shipping,0
232,30851,3/28/2016 8:07,Standard Class,2,4,Advance shipping,0
233,25074,1/7/2016 0:11,Standard Class,5,4,Late delivery,1
234,76870,2/2/2018 2:38,Standard Class,6,4,Late delivery,1
235,25163,1/7/2016 7:22,Standard Class,4,4,Shipping on time,0
236,28036,2/16/2016 5:54,Standard Class,2,4,Advance shipping,0
237,22679,12/3/2015 1:06,Standard Class,5,4,Late delivery,1
238,23610,12/17/2015 15:17,Standard Class,6,4,Late delivery,1
239,42828,9/21/2016 4:12,Standard Class,4,4,Shipping on time,0
241,48713,12/16/2016 1:59,Standard Class,4,4,Shipping on time,0
242,45668,11/1/2016 15:11,Standard Class,4,4,Shipping on time,0
243,74796,12/29/2017 20:01,Standard Class,2,4,Advance shipping,0
244,27918,2/16/2016 12:34,Standard Class,4,4,Shipping on time,0
245,30097,3/18/2016 7:58,Standard Class,3,4,Advance shipping,0
246,30966,3/30/2016 0:25,Standard Class,2,4,Advance shipping,0
247,30063,3/18/2016 20:03,Standard Class,4,4,Shipping on time,0
248,22019,11/23/2015 9:53,Standard Class,5,4,Late delivery,1
249,24230,12/26/2015 16:29,Standard Class,6,4,Late delivery,1
251,42353,9/14/2016 5:47,Standard Class,4,4,Shipping on time,0
253,42134,9/12/2016 1:04,Standard Class,5,4,Late delivery,1
254,21522,11/14/2015 3:45,Standard Class,3,4,Advance shipping,0
255,23767,12/16/2015 22:17,Standard Class,3,4,Advance shipping,0
256,25433,1/11/2016 5:57,Standard Class,4,4,Shipping on time,0
257,73893,12/18/2017 15:39,Standard Class,4,4,Shipping on time,0
258,30085,3/21/2016 3:45,Standard Class,6,4,Late delivery,1
259,30172,3/19/2016 10:14,Standard Class,3,4,Advance shipping,0
260,27478,2/10/2016 2:25,Standard Class,4,4,Shipping on time,0
261,76976,1/30/2018 15:46,Standard Class,2,4,Advance shipping,0
262,24063,12/22/2015 5:59,Standard Class,4,4,Shipping on time,0
263,51209,1/22/2017 12:26,Standard Class,5,4,Late delivery,1
264,73839,12/18/2017 20:44,Standard Class,5,4,Late delivery,1
265,74723,12/30/2017 18:26,Standard Class,4,4,Shipping on time,0
266,26821,1/29/2016 12:14,Standard Class,2,4,Advance shipping,0
267,77102,2/2/2018 11:54,Standard Class,3,4,Advance shipping,0
268,41608,9/3/2016 8:47,Standard Class,4,4,Shipping on time,0
269,47009,11/22/2016 4:59,Standard Class,5,4,Late delivery,1
270,49916,12/31/2016 15:26,Standard Class,2,4,Advance shipping,0
271,29746,3/12/2016 4:59,Standard Class,2,4,Advance shipping,0
272,72533,11/28/2017 19:11,Standard Class,4,4,Shipping on time,0
273,48608,12/14/2016 13:11,Standard Class,4,4,Shipping on time,0
274,45506,10/28/2016 6:25,Standard Class,2,4,Advance shipping,0
275,45027,10/22/2016 6:36,Standard Class,3,4,Advance shipping,0
276,46308,11/10/2016 23:24,Standard Class,4,4,Shipping on time,0
277,43685,10/5/2016 16:27,Standard Class,6,4,Late delivery,1
278,41893,9/7/2016 12:38,Standard Class,4,4,Shipping on time,0
279,46339,11/12/2016 10:15,Standard Class,5,4,Late delivery,1
280,46667,11/15/2016 5:10,Standard Class,3,4,Advance shipping,0
281,47647,11/29/2016 12:30,Standard Class,3,4,Advance shipping,0
282,48565,12/15/2016 22:07,Standard Class,6,4,Late delivery,1
283,43889,10/7/2016 15:55,Standard Class,5,4,Late delivery,1
284,45138,10/24/2016 21:30,Standard Class,4,4,Shipping on time,0
285,44160,10/12/2016 14:51,Standard Class,6,4,Late delivery,1
286,49214,12/24/2016 9:30,Standard Class,5,4,Late delivery,1
287,41825,9/8/2016 12:48,Standard Class,6,4,Late delivery,1
288,44504,10/16/2016 15:22,Standard Class,5,4,Late delivery,1
289,44496,10/13/2016 12:34,Standard Class,2,4,Advance shipping,0
290,45559,11/1/2016 0:59,Standard Class,5,4,Late delivery,1
291,44074,10/10/2016 8:44,Standard Class,5,4,Late delivery,1
292,49857,12/31/2016 18:46,Standard Class,3,4,Advance shipping,0
293,41786,9/3/2016 23:08,Standard Class,2,4,Advance shipping,0
294,48042,12/5/2016 6:54,Standard Class,3,4,Advance shipping,0
295,44301,10/10/2016 16:15,Standard Class,2,4,Advance shipping,0
296,41591,9/1/2016 2:49,Standard Class,2,4,Advance shipping,0
297,44981,10/20/2016 14:29,Standard Class,2,4,Advance shipping,0
298,41545,9/4/2016 10:42,Standard Class,6,4,Late delivery,1
299,49910,1/4/2017 13:20,Standard Class,6,4,Late delivery,1
300,19590,10/19/2015 22:53,Standard Class,6,4,Late delivery,1
301,43650,10/5/2016 4:11,Standard Class,6,4,Late delivery,1
302,15202,8/13/2015 21:35,Standard Class,3,4,Advance shipping,0
303,15462,8/17/2015 16:40,Standard Class,3,4,Advance shipping,0
304,15155,8/16/2015 5:07,Standard Class,6,4,Late delivery,1
305,64451,7/31/2017 19:42,Standard Class,2,4,Advance shipping,0
306,67028,9/9/2017 10:32,Standard Class,4,4,Shipping on time,0
307,62336,6/30/2017 22:43,Standard Class,2,4,Advance shipping,0
308,11334,6/20/2015 10:27,Standard Class,5,4,Late delivery,1
309,62885,7/12/2017 23:03,Standard Class,6,4,Late delivery,1
310,66998,9/9/2017 0:02,Standard Class,4,4,Shipping on time,0
311,47002,11/20/2016 2:32,Standard Class,3,4,Advance shipping,0
312,63445,7/21/2017 3:15,Standard Class,6,4,Late delivery,1
313,67566,9/15/2017 7:01,Standard Class,2,4,Advance shipping,0
314,18884,10/8/2015 15:33,Standard Class,5,4,Late delivery,1
315,18845,10/9/2015 1:53,Standard Class,6,4,Late delivery,1
316,66854,9/7/2017 21:35,Standard Class,5,4,Late delivery,1
317,46955,11/22/2016 10:04,Standard Class,6,4,Late delivery,1
318,55002,3/16/2017 21:18,Standard Class,3,4,Advance shipping,0
319,60445,6/7/2017 8:13,Standard Class,6,4,Late delivery,1
320,53586,2/23/2017 5:12,Standard Class,2,4,Advance shipping,0
321,56618,4/10/2017 11:27,Standard Class,4,4,Shipping on time,0
322,51865,2/2/2017 2:16,Standard Class,6,4,Late delivery,1
323,2937,2/15/2015 20:36,Standard Class,3,4,Advance shipping,0
324,54446,3/7/2017 18:30,Standard Class,2,4,Advance shipping,0
325,58623,5/9/2017 17:53,Standard Class,4,4,Shipping on time,0
326,7411,4/21/2015 4:03,Standard Class,2,4,Advance shipping,0
327,5348,3/24/2015 1:17,Standard Class,4,4,Shipping on time,0
328,59742,5/25/2017 1:56,Standard Class,3,4,Advance shipping,0
329,59498,5/22/2017 12:26,Standard Class,4,4,Shipping on time,0
330,3459,2/25/2015 11:29,Standard Class,5,4,Late delivery,1
331,8470,5/10/2015 15:04,Standard Class,6,4,Late delivery,1
332,53455,2/25/2017 7:19,Standard Class,6,4,Late delivery,1
333,2014,2/4/2015 9:14,Standard Class,5,4,Late delivery,1
334,55899,3/31/2017 23:33,Standard Class,5,4,Late delivery,1
335,52582,2/9/2017 13:27,Standard Class,3,4,Advance shipping,0
336,56222,4/3/2017 16:43,Standard Class,3,4,Advance shipping,0
337,57829,4/29/2017 3:43,Standard Class,5,4,Late delivery,1
338,56217,4/3/2017 14:58,Standard Class,3,4,Advance shipping,0
339,5893,4/1/2015 0:13,Standard Class,4,4,Shipping on time,0
340,5528,3/26/2015 16:21,Standard Class,4,4,Shipping on time,0
341,367,1/9/2015 8:13,Standard Class,3,4,Advance shipping,0
342,52353,2/7/2017 5:14,Standard Class,4,4,Shipping on time,0
343,1784,2/1/2015 0:39,Standard Class,5,4,Late delivery,1
344,60317,6/2/2017 11:22,Standard Class,3,4,Advance shipping,0
345,6776,4/11/2015 21:35,Standard Class,2,4,Advance shipping,0
346,4487,3/10/2015 11:38,Standard Class,3,4,Advance shipping,0
347,9681,5/24/2015 7:20,Standard Class,2,4,Advance shipping,0
348,60868,6/11/2017 12:25,Standard Class,4,4,Shipping on time,0
349,53231,2/18/2017 0:50,Standard Class,2,4,Advance shipping,0
350,52601,2/8/2017 20:07,Standard Class,2,4,Advance shipping,0
351,4660,3/16/2015 0:15,Standard Class,6,4,Late delivery,1
352,3539,2/26/2015 15:31,Standard Class,5,4,Late delivery,1
354,54488,3/10/2017 9:13,Standard Class,4,4,Shipping on time,0
356,52549,2/11/2017 1:54,Standard Class,5,4,Late delivery,1
357,60361,6/2/2017 2:47,Standard Class,2,4,Advance shipping,0
359,5712,3/28/2015 8:49,Standard Class,3,4,Advance shipping,0
360,9309,5/21/2015 21:00,Standard Class,5,4,Late delivery,1
361,8095,5/5/2015 3:41,Standard Class,6,4,Late delivery,1
362,75892,1/15/2018 19:59,Standard Class,3,4,Advance shipping,0
363,75891,1/14/2018 19:38,Standard Class,2,4,Advance shipping,0
364,75890,1/18/2018 19:17,Second Class,6,2,Late delivery,1
365,75889,1/17/2018 18:56,Standard Class,5,4,Late delivery,1
366,75888,1/16/2018 18:35,Standard Class,4,4,Shipping on time,0
367,75887,1/15/2018 18:14,Standard Class,3,4,Advance shipping,0
368,75886,1/14/2018 17:53,Standard Class,2,4,Shipping canceled,0
369,75885,1/18/2018 17:32,Second Class,6,2,Late delivery,1
370,75884,1/17/2018 17:11,Standard Class,5,4,Late delivery,1
371,75883,1/14/2018 16:50,First Class,2,1,Late delivery,1
372,75882,1/15/2018 16:29,Standard Class,3,4,Advance shipping,0
373,75881,1/14/2018 16:08,Standard Class,2,4,Advance shipping,0
374,75880,1/18/2018 15:47,Standard Class,6,4,Late delivery,1
375,75879,1/17/2018 15:26,Standard Class,5,4,Late delivery,1
376,75878,1/16/2018 15:05,Standard Class,4,4,Shipping on time,0
377,75877,1/15/2018 14:44,Standard Class,3,4,Advance shipping,0
378,75876,1/14/2018 14:23,Standard Class,2,4,Advance shipping,0
379,75875,1/18/2018 14:02,Second Class,6,2,Late delivery,1
380,75874,1/17/2018 13:41,Standard Class,5,4,Late delivery,1
381,75873,1/16/2018 13:20,Standard Class,4,4,Shipping on time,0
382,75872,1/15/2018 12:59,Standard Class,3,4,Advance shipping,0
383,75871,1/14/2018 12:38,First Class,2,1,Late delivery,1
384,75870,1/14/2018 12:17,First Class,2,1,Late delivery,1
385,75869,1/14/2018 11:56,First Class,2,1,Late delivery,1
386,75868,1/14/2018 11:35,First Class,2,1,Late delivery,1
387,75867,1/12/2018 23:14,Same Day,0,0,Shipping on time,0
388,75866,1/12/2018 22:53,Same Day,0,0,Shipping on time,0
389,75865,1/12/2018 22:32,Same Day,0,0,Shipping on time,0
390,75864,1/17/2018 10:11,Standard Class,5,4,Late delivery,1
391,75863,1/16/2018 9:50,Standard Class,4,4,Shipping on time,0
392,75862,1/15/2018 9:29,Standard Class,3,4,Advance shipping,0
393,75861,1/14/2018 9:08,Standard Class,2,4,Advance shipping,0
394,75860,1/18/2018 8:47,Standard Class,6,4,Late delivery,1
395,75859,1/17/2018 8:26,Standard Class,5,4,Shipping canceled,0
396,75858,1/16/2018 8:05,Second Class,4,2,Late delivery,1
397,75857,1/15/2018 7:44,Standard Class,3,4,Advance shipping,0
398,75856,1/14/2018 7:23,Second Class,2,2,Shipping on time,0
399,75855,1/14/2018 7:02,First Class,2,1,Late delivery,1
400,75854,1/17/2018 6:41,Second Class,5,2,Late delivery,1
401,75853,1/16/2018 6:20,Second Class,4,2,Late delivery,1
402,75852,1/15/2018 5:59,Standard Class,3,4,Advance shipping,0
403,75851,1/14/2018 5:38,Standard Class,2,4,Advance shipping,0
404,75850,1/18/2018 5:16,Standard Class,6,4,Late delivery,1
405,75849,1/17/2018 4:55,Standard Class,5,4,Late delivery,1
406,75848,1/16/2018 4:34,Second Class,4,2,Late delivery,1
407,75847,1/15/2018 4:13,Second Class,3,2,Shipping canceled,0
408,75846,1/14/2018 3:52,Standard Class,2,4,Advance shipping,0
409,75845,1/18/2018 3:31,Standard Class,6,4,Late delivery,1
410,75844,1/17/2018 3:10,Standard Class,5,4,Late delivery,1
411,75843,1/16/2018 2:49,Second Class,4,2,Late delivery,1
412,75842,1/15/2018 2:28,Standard Class,3,4,Advance shipping,0
413,75841,1/14/2018 2:07,Standard Class,2,4,Advance shipping,0
414,75840,1/18/2018 1:46,Second Class,6,2,Late delivery,1
415,75839,1/17/2018 1:25,Second Class,5,2,Late delivery,1
416,75838,1/14/2018 1:04,First Class,2,1,Late delivery,1
417,75837,1/14/2018 0:43,First Class,2,1,Late delivery,1
418,75836,1/14/2018 0:22,Second Class,2,2,Shipping on time,0
419,75835,1/18/2018 0:01,Second Class,6,2,Late delivery,1
420,75834,1/16/2018 23:40,Second Class,5,2,Late delivery,1
421,75833,1/13/2018 23:19,First Class,2,1,Late delivery,1
422,75832,1/13/2018 22:58,First Class,2,1,Late delivery,1
423,75831,1/13/2018 22:37,First Class,2,1,Late delivery,1
424,75830,1/17/2018 22:16,Standard Class,6,4,Late delivery,1
425,75829,1/16/2018 21:55,Standard Class,5,4,Late delivery,1
