Order Id,shipping date (DateOrders),Shipping Mode,Days for shipping (real),Days for shipment (scheduled),Delivery Status,Late_delivery_risk
75894,1/17/2018 20:41,Second Class,5,2,Late delivery,1
75893,1/16/2018 20:20,Standard Class,4,4,Shipping on time,0
28744,2/29/2016 13:57,Second Class,5,2,Late delivery,1
45461,10/27/2016 14:39,Second Class,2,2,Shipping on time,0
31115,4/5/2016 4:37,Second Class,6,2,Late delivery,1
45766,11/1/2016 1:31,Second Class,2,2,Shipping on time,0
47752,12/1/2016 1:18,Second Class,3,2,Late delivery,1
50054,1/5/2017 15:47,Second Class,5,2,Late delivery,1
20365,10/31/2015 6:24,Second Class,6,2,Late delivery,1
36146,6/13/2016 15:12,Second Class,2,2,Shipping on time,0
41234,8/29/2016 21:45,Second Class,5,2,Late delivery,1
32090,4/19/2016 10:12,Second Class,6,2,Late delivery,1
34773,5/26/2016 14:10,Second Class,4,2,Late delivery,1
44046,10/6/2016 22:55,Second Class,2,2,Shipping on time,0
46414,11/13/2016 12:32,Second Class,5,2,Late delivery,1
46599,11/16/2016 5:21,Second Class,5,2,Late delivery,1
48434,12/13/2016 0:14,Second Class,5,2,Late delivery,1
12827,7/10/2015 5:31,Second Class,3,2,Late delivery,1
63936,7/24/2017 7:16,Second Class,2,2,Shipping on time,0
65030,8/13/2017 6:33,Second Class,6,2,Late delivery,1
18108,9/26/2015 7:41,Second Class,4,2,Late delivery,1
62571,7/4/2017 9:03,Second Class,2,2,Shipping on time,0
17162,9/11/2015 12:15,Second Class,3,2,Late delivery,1
65922,8/23/2017 7:03,Second Class,3,2,Late delivery,1
64813,8/8/2017 2:31,Second Class,4,2,Late delivery,1
67892,9/21/2017 1:14,Second Class,3,2,Late delivery,1
12525,7/8/2015 19:42,Second Class,6,2,Late delivery,1
5895,4/3/2015 0:55,Second Class,6,2,Late delivery,1
56359,4/7/2017 16:43,Second Class,5,2,Late delivery,1
58613,5/9/2017 14:23,Second Class,4,2,Late delivery,1
7824,4/30/2015 4:44,Second Class,5,2,Late delivery,1
7814,4/30/2015 1:14,Second Class,5,2,Late delivery,1
60807,6/9/2017 15:03,Second Class,3,2,Late delivery,1
53413,2/22/2017 16:36,Second Class,4,2,Late delivery,1
7888,4/30/2015 3:10,Second Class,4,2,Late delivery,1
6783,4/14/2015 0:02,Second Class,4,2,Late delivery,1
56973,4/15/2017 15:49,Second Class,4,2,Late delivery,1
55155,3/22/2017 2:54,Second Class,6,2,Late delivery,1
5991,3/31/2015 10:33,Second Class,2,2,Shipping on time,0
2263,2/7/2015 0:28,Second Class,4,2,Late delivery,1
53403,2/22/2017 13:05,Second Class,4,2,Late delivery,1
51298,1/22/2017 19:37,Second Class,4,2,Late delivery,1
4919,3/18/2015 18:59,Standard Class,5,4,Late delivery,1
52640,2/13/2017 9:47,Standard Class,6,4,Late delivery,1
6358,4/7/2015 19:08,Standard Class,4,4,Shipping on time,0
57106,4/15/2017 14:25,Standard Class,2,4,Advance shipping,0
6245,4/8/2015 3:33,Standard Class,6,4,Late delivery,1
52166,2/2/2017 11:43,Standard Class,2,4,Advance shipping,0
56172,4/2/2017 23:12,Standard Class,3,4,Advance shipping,0
55829,3/30/2017 23:02,Standard Class,5,4,Late delivery,1
52478,2/9/2017 1:01,Standard Class,4,4,Shipping on time,0
57242,4/18/2017 14:04,Standard Class,3,4,Advance shipping,0
3137,2/18/2015 18:40,Standard Class,3,4,Advance shipping,0
60127,5/30/2017 16:48,Standard Class,3,4,Advance shipping,0
3828,3/1/2015 20:46,Standard Class,4,4,Shipping on time,0
60386,6/2/2017 11:33,Standard Class,2,4,Advance shipping,0
973,1/19/2015 4:32,Standard Class,4,4,Shipping on time,0
57999,5/1/2017 15:16,Standard Class,5,4,Late delivery,1
54585,3/13/2017 19:12,Standard Class,6,4,Late delivery,1
57598,4/24/2017 18:47,Standard Class,4,4,Shipping on time,0
54274,3/8/2017 6:14,Standard Class,5,4,Late delivery,1
60673,6/8/2017 16:06,Standard Class,4,4,Shipping on time,0
59387,5/19/2017 21:33,Standard Class,3,4,Advance shipping,0
10007,5/30/2015 1:32,Standard Class,3,4,Advance shipping,0
55984,4/2/2017 5:20,Standard Class,5,4,Late delivery,1
58375,5/8/2017 3:00,Standard Class,6,4,Late delivery,1
56448,4/7/2017 23:53,Standard Class,4,4,Shipping on time,0
8221,5/2/2015 23:49,Standard Class,2,4,Advance shipping,0
58034,5/2/2017 3:32,Standard Class,5,4,Late delivery,1
2203,2/6/2015 3:27,Standard Class,4,4,Shipping on time,0
53069,2/18/2017 16:05,Standard Class,5,4,Late delivery,1
60146,5/29/2017 23:28,Standard Class,2,4,Advance shipping,0
55409,3/24/2017 19:53,Standard Class,5,4,Late delivery,1
8678,5/11/2015 15:56,Standard Class,4,4,Shipping on time,0
7980,5/3/2015 11:23,Standard Class,6,4,Late delivery,1
57185,4/20/2017 18:06,Standard Class,6,4,Late delivery,1
8636,5/9/2015 1:13,Standard Class,2,4,Advance shipping,0
61192,6/15/2017 5:55,Standard Class,3,4,Advance shipping,0
55876,3/28/2017 15:30,Standard Class,2,4,Advance shipping,0
53331,2/19/2017 11:52,Standard Class,2,4,Advance shipping,0
51725,1/31/2017 1:13,Standard Class,6,4,Late delivery,1
52562,2/9/2017 6:27,Standard Class,3,4,Advance shipping,0
59754,5/27/2017 6:08,Standard Class,5,4,Late delivery,1
53574,2/26/2017 1:00,Standard Class,5,4,Late delivery,1
399,1/11/2015 19:26,Standard Class,5,4,Late delivery,1
51050,1/21/2017 4:44,Second Class,6,2,Late delivery,1
45680,11/3/2016 19:23,Second Class,6,2,Late delivery,1
42992,9/22/2016 13:39,Second Class,3,2,Late delivery,1
41304,8/30/2016 22:16,Second Class,5,2,Late delivery,1
44253,10/11/2016 23:26,Second Class,4,2,Late delivery,1
46098,11/7/2016 21:49,Second Class,4,2,Late delivery,1
71077,11/6/2017 13:05,Second Class,3,2,Late delivery,1
69703,10/18/2017 11:42,Second Class,4,2,Late delivery,1
71112,11/7/2017 1:21,Second Class,3,2,Late delivery,1
69810,10/22/2017 1:12,Second Class,6,2,Late delivery,1
71092,11/6/2017 18:20,Second Class,3,2,Late delivery,1
69610,10/19/2017 3:08,Second Class,6,2,Late delivery,1
71000,11/8/2017 10:06,Second Class,6,2,Late delivery,1
70734,11/3/2017 12:55,Second Class,5,2,Late delivery,1
69626,10/15/2017 8:44,Second Class,2,2,Shipping on time,0
69482,10/14/2017 6:17,Second Class,3,2,Late delivery,1
70769,11/4/2017 1:10,Second Class,5,2,Late delivery,1
69643,10/17/2017 14:41,Second Class,4,2,Late delivery,1
71051,11/5/2017 3:58,Second Class,2,2,Shipping on time,0
69408,10/14/2017 4:21,Second Class,4,2,Late delivery,1
71123,11/8/2017 5:12,Second Class,4,2,Late delivery,1
70534,10/31/2017 14:51,Second Class,5,2,Late delivery,1
69641,10/15/2017 13:59,Second Class,2,2,Shipping on time,0
70960,11/7/2017 20:05,Second Class,6,2,Late delivery,1
69908,10/21/2017 11:32,Second Class,4,2,Late delivery,1
70957,11/4/2017 19:02,Second Class,3,2,Late delivery,1
69637,10/16/2017 12:35,Second Class,3,2,Late delivery,1
70955,11/7/2017 18:20,Second Class,6,2,Late delivery,1
70919,11/6/2017 5:44,Second Class,5,2,Late delivery,1
71009,11/7/2017 13:15,Second Class,5,2,Late delivery,1
69653,10/17/2017 18:11,Second Class,4,2,Late delivery,1
69527,10/14/2017 22:03,Second Class,3,2,Late delivery,1
71080,11/9/2017 14:08,Second Class,6,2,Late delivery,1
70544,10/31/2017 18:21,Second Class,5,2,Late delivery,1
69471,10/13/2017 2:26,Second Class,2,2,Shipping on time,0
68879,10/7/2017 11:01,Second Class,5,2,Late delivery,1
67214,9/13/2017 3:42,Second Class,5,2,Late delivery,1
17810,9/23/2015 23:17,Second Class,6,2,Late delivery,1
18793,10/6/2015 7:40,Second Class,4,2,Late delivery,1
65109,8/13/2017 10:13,Second Class,5,2,Late delivery,1
15673,8/21/2015 18:35,Second Class,4,2,Late delivery,1
18183,9/27/2015 9:57,Second Class,4,2,Late delivery,1
20234,10/28/2015 8:31,Second Class,5,2,Late delivery,1
13139,7/16/2015 18:49,Second Class,5,2,Late delivery,1
33824,5/13/2016 17:42,Standard Class,5,4,Shipping canceled,0
31364,4/7/2016 19:51,Standard Class,5,4,Shipping canceled,0
40495,8/20/2016 2:51,Standard Class,6,4,Shipping canceled,0
34506,5/20/2016 16:38,Standard Class,2,4,Shipping canceled,0
33607,5/8/2016 13:40,Standard Class,3,4,Shipping canceled,0
32617,4/24/2016 2:50,Standard Class,3,4,Shipping canceled,0
37496,7/3/2016 8:10,Standard Class,2,4,Shipping canceled,0
49075,12/23/2016 8:48,Standard Class,6,4,Shipping canceled,0
41623,9/3/2016 14:02,Standard Class,4,4,Shipping canceled,0
39271,7/29/2016 6:01,Standard Class,2,4,Shipping canceled,0
38598,7/21/2016 10:14,Standard Class,4,4,Shipping canceled,0
37845,7/12/2016 10:26,Standard Class,6,4,Shipping canceled,0
42331,9/11/2016 22:05,Standard Class,2,4,Shipping canceled,0
41345,9/1/2016 12:38,Standard Class,6,4,Shipping canceled,0
51168,1/20/2017 22:04,Standard Class,4,4,Shipping canceled,0
43599,10/3/2016 10:19,Standard Class,5,4,Shipping canceled,0
41901,9/5/2016 15:26,Standard Class,2,4,Shipping canceled,0
42751,9/18/2016 1:13,Standard Class,2,4,Advance shipping,0
45088,10/24/2016 3:59,Standard Class,4,4,Shipping on time,0
50489,1/12/2017 0:11,Standard Class,5,4,Late delivery,1
44409,10/15/2016 6:06,Standard Class,5,4,Late delivery,1
42101,9/8/2016 13:30,Standard Class,2,4,Advance shipping,0
50424,1/11/2017 1:25,Standard Class,5,4,Late delivery,1
49825,1/3/2017 7:33,Standard Class,6,4,Late delivery,1
41294,8/30/2016 18:46,Standard Class,5,4,Late delivery,1
42023,9/9/2016 10:10,Standard Class,4,4,Shipping on time,0
47774,12/3/2016 9:00,Standard Class,5,4,Late delivery,1
41827,9/5/2016 13:30,Standard Class,3,4,Advance shipping,0
47193,11/23/2016 21:27,Standard Class,4,4,Shipping on time,0
42626,9/16/2016 5:26,Standard Class,2,4,Advance shipping,0
46199,11/10/2016 9:13,Standard Class,5,4,Late delivery,1
48468,12/12/2016 12:08,Standard Class,4,4,Shipping on time,0
51009,1/19/2017 14:22,Standard Class,5,4,Late delivery,1
46229,11/10/2016 19:43,Standard Class,5,4,Late delivery,1
42882,9/20/2016 23:07,Standard Class,3,4,Advance shipping,0
46827,11/17/2016 13:14,Standard Class,3,4,Advance shipping,0
48684,12/16/2016 15:49,Standard Class,5,4,Late delivery,1
46416,11/10/2016 13:14,Standard Class,2,4,Advance shipping,0
47343,11/26/2016 2:00,Standard Class,4,4,Shipping on time,0
41686,9/2/2016 12:06,Standard Class,2,4,Advance shipping,0
41896,9/5/2016 13:41,Standard Class,2,4,Advance shipping,0
28168,2/20/2016 4:09,Standard Class,4,4,Shipping on time,0
24992,1/3/2016 19:27,Standard Class,3,4,Advance shipping,0
30851,3/28/2016 8:07,Standard Class,2,4,Advance shipping,0
25074,1/7/2016 0:11,Standard Class,5,4,Late delivery,1
76870,2/2/2018 2:38,Standard Class,6,4,Late delivery,1
25163,1/7/2016 7:22,Standard Class,4,4,Shipping on time,0
28036,2/16/2016 5:54,Standard Class,2,4,Advance shipping,0
22679,12/3/2015 1:06,Standard Class,5,4,Late delivery,1
23610,12/17/2015 15:17,Standard Class,6,4,Late delivery,1
42828,9/21/2016 4:12,Standard Class,4,4,Shipping on time,0
48713,12/16/2016 1:59,Standard Class,4,4,Shipping on time,0
45668,11/1/2016 15:11,Standard Class,4,4,Shipping on time,0
74796,12/29/2017 20:01,Standard Class,2,4,Advance shipping,0
27918,2/16/2016 12:34,Standard Class,4,4,Shipping on time,0
30097,3/18/2016 7:58,Standard Class,3,4,Advance shipping,0
30966,3/30/2016 0:25,Standard Class,2,4,Advance shipping,0
30063,3/18/2016 20:03,Standard Class,4,4,Shipping on time,0
22019,11/23/2015 9:53,Standard Class,5,4,Late delivery,1
24230,12/26/2015 16:29,Standard Class,6,4,Late delivery,1
42353,9/14/2016 5:47,Standard Class,4,4,Shipping on time,0
42134,9/12/2016 1:04,Standard Class,5,4,Late delivery,1
21522,11/14/2015 3:45,Standard Class,3,4,Advance shipping,0
23767,12/16/2015 22:17,Standard Class,3,4,Advance shipping,0
25433,1/11/2016 5:57,Standard Class,4,4,Shipping on time,0
73893,12/18/2017 15:39,Standard Class,4,4,Shipping on time,0
30085,3/21/2016 3:45,Standard Class,6,4,Late delivery,1
30172,3/19/2016 10:14,Standard Class,3,4,Advance shipping,0
27478,2/10/2016 2:25,Standard Class,4,4,Shipping on time,0
76976,1/30/2018 15:46,Standard Class,2,4,Advance shipping,0
24063,12/22/2015 5:59,Standard Class,4,4,Shipping on time,0
51209,1/22/2017 12:26,Standard Class,5,4,Late delivery,1
73839,12/18/2017 20:44,Standard Class,5,4,Late delivery,1
74723,12/30/2017 18:26,Standard Class,4,4,Shipping on time,0
26821,1/29/2016 12:14,Standard Class,2,4,Advance shipping,0
77102,2/2/2018 11:54,Standard Class,3,4,Advance shipping,0
41608,9/3/2016 8:47,Standard Class,4,4,Shipping on time,0
47009,11/22/2016 4:59,Standard Class,5,4,Late delivery,1
49916,12/31/2016 15:26,Standard Class,2,4,Advance shipping,0
29746,3/12/2016 4:59,Standard Class,2,4,Advance shipping,0
72533,11/28/2017 19:11,Standard Class,4,4,Shipping on time,0
48608,12/14/2016 13:11,Standard Class,4,4,Shipping on time,0
45506,10/28/2016 6:25,Standard Class,2,4,Advance shipping,0
45027,10/22/2016 6:36,Standard Class,3,4,Advance shipping,0
46308,11/10/2016 23:24,Standard Class,4,4,Shipping on time,0
43685,10/5/2016 16:27,Standard Class,6,4,Late delivery,1
41893,9/7/2016 12:38,Standard Class,4,4,Shipping on time,0
46339,11/12/2016 10:15,Standard Class,5,4,Late delivery,1
46667,11/15/2016 5:10,Standard Class,3,4,Advance shipping,0
47647,11/29/2016 12:30,Standard Class,3,4,Advance shipping,0
48565,12/15/2016 22:07,Standard Class,6,4,Late delivery,1
43889,10/7/2016 15:55,Standard Class,5,4,Late delivery,1
45138,10/24/2016 21:30,Standard Class,4,4,Shipping on time,0
44160,10/12/2016 14:51,Standard Class,6,4,Late delivery,1
49214,12/24/2016 9:30,Standard Class,5,4,Late delivery,1
41825,9/8/2016 12:48,Standard Class,6,4,Late delivery,1
44504,10/16/2016 15:22,Standard Class,5,4,Late delivery,1
44496,10/13/2016 12:34,Standard Class,2,4,Advance shipping,0
45559,11/1/2016 0:59,Standard Class,5,4,Late delivery,1
44074,10/10/2016 8:44,Standard Class,5,4,Late delivery,1
49857,12/31/2016 18:46,Standard Class,3,4,Advance shipping,0
41786,9/3/2016 23:08,Standard Class,2,4,Advance shipping,0
48042,12/5/2016 6:54,Standard Class,3,4,Advance shipping,0
44301,10/10/2016 16:15,Standard Class,2,4,Advance shipping,0
41591,9/1/2016 2:49,Standard Class,2,4,Advance shipping,0
44981,10/20/2016 14:29,Standard Class,2,4,Advance shipping,0
41545,9/4/2016 10:42,Standard Class,6,4,Late delivery,1
49910,1/4/2017 13:20,Standard Class,6,4,Late delivery,1
19590,10/19/2015 22:53,Standard Class,6,4,Late delivery,1
43650,10/5/2016 4:11,Standard Class,6,4,Late delivery,1
15202,8/13/2015 21:35,Standard Class,3,4,Advance shipping,0
15462,8/17/2015 16:40,Standard Class,3,4,Advance shipping,0
15155,8/16/2015 5:07,Standard Class,6,4,Late delivery,1
64451,7/31/2017 19:42,Standard Class,2,4,Advance shipping,0
67028,9/9/2017 10:32,Standard Class,4,4,Shipping on time,0
62336,6/30/2017 22:43,Standard Class,2,4,Advance shipping,0
11334,6/20/2015 10:27,Standard Class,5,4,Late delivery,1
62885,7/12/2017 23:03,Standard Class,6,4,Late delivery,1
66998,9/9/2017 0:02,Standard Class,4,4,Shipping on time,0
47002,11/20/2016 2:32,Standard Class,3,4,Advance shipping,0
63445,7/21/2017 3:15,Standard Class,6,4,Late delivery,1
67566,9/15/2017 7:01,Standard Class,2,4,Advance shipping,0
18884,10/8/2015 15:33,Standard Class,5,4,Late delivery,1
18845,10/9/2015 1:53,Standard Class,6,4,Late delivery,1
66854,9/7/2017 21:35,Standard Class,5,4,Late delivery,1
46955,11/22/2016 10:04,Standard Class,6,4,Late delivery,1
55002,3/16/2017 21:18,Standard Class,3,4,Advance shipping,0
60445,6/7/2017 8:13,Standard Class,6,4,Late delivery,1
53586,2/23/2017 5:12,Standard Class,2,4,Advance shipping,0
56618,4/10/2017 11:27,Standard Class,4,4,Shipping on time,0
51865,2/2/2017 2:16,Standard Class,6,4,Late delivery,1
2937,2/15/2015 20:36,Standard Class,3,4,Advance shipping,0
54446,3/7/2017 18:30,Standard Class,2,4,Advance shipping,0
58623,5/9/2017 17:53,Standard Class,4,4,Shipping on time,0
7411,4/21/2015 4:03,Standard Class,2,4,Advance shipping,0
5348,3/24/2015 1:17,Standard Class,4,4,Shipping on time,0
59742,5/25/2017 1:56,Standard Class,3,4,Advance shipping,0
59498,5/22/2017 12:26,Standard Class,4,4,Shipping on time,0
3459,2/25/2015 11:29,Standard Class,5,4,Late delivery,1
8470,5/10/2015 15:04,Standard Class,6,4,Late delivery,1
53455,2/25/2017 7:19,Standard Class,6,4,Late delivery,1
2014,2/4/2015 9:14,Standard Class,5,4,Late delivery,1
55899,3/31/2017 23:33,Standard Class,5,4,Late delivery,1
52582,2/9/2017 13:27,Standard Class,3,4,Advance shipping,0
56222,4/3/2017 16:43,Standard Class,3,4,Advance shipping,0
57829,4/29/2017 3:43,Standard Class,5,4,Late delivery,1
56217,4/3/2017 14:58,Standard Class,3,4,Advance shipping,0
5893,4/1/2015 0:13,Standard Class,4,4,Shipping on time,0
5528,3/26/2015 16:21,Standard Class,4,4,Shipping on time,0
367,1/9/2015 8:13,Standard Class,3,4,Advance shipping,0
52353,2/7/2017 5:14,Standard Class,4,4,Shipping on time,0
1784,2/1/2015 0:39,Standard Class,5,4,Late delivery,1
60317,6/2/2017 11:22,Standard Class,3,4,Advance shipping,0
6776,4/11/2015 21:35,Standard Class,2,4,Advance shipping,0
4487,3/10/2015 11:38,Standard Class,3,4,Advance shipping,0
9681,5/24/2015 7:20,Standard Class,2,4,Advance shipping,0
60868,6/11/2017 12:25,Standard Class,4,4,Shipping on time,0
53231,2/18/2017 0:50,Standard Class,2,4,Advance shipping,0
52601,2/8/2017 20:07,Standard Class,2,4,Advance shipping,0
4660,3/16/2015 0:15,Standard Class,6,4,Late delivery,1
3539,2/26/2015 15:31,Standard Class,5,4,Late delivery,1
54488,3/10/2017 9:13,Standard Class,4,4,Shipping on time,0
52549,2/11/2017 1:54,Standard Class,5,4,Late delivery,1
60361,6/2/2017 2:47,Standard Class,2,4,Advance shipping,0
5712,3/28/2015 8:49,Standard Class,3,4,Advance shipping,0
9309,5/21/2015 21:00,Standard Class,5,4,Late delivery,1
8095,5/5/2015 3:41,Standard Class,6,4,Late delivery,1
75892,1/15/2018 19:59,Standard Class,3,4,Advance shipping,0
75891,1/14/2018 19:38,Standard Class,2,4,Advance shipping,0
75890,1/18/2018 19:17,Second Class,6,2,Late delivery,1
75889,1/17/2018 18:56,Standard Class,5,4,Late delivery,1
75888,1/16/2018 18:35,Standard Class,4,4,Shipping on time,0
75887,1/15/2018 18:14,Standard Class,3,4,Advance shipping,0
75886,1/14/2018 17:53,Standard Class,2,4,Shipping canceled,0
75885,1/18/2018 17:32,Second Class,6,2,Late delivery,1
75884,1/17/2018 17:11,Standard Class,5,4,Late delivery,1
75883,1/14/2018 16:50,First Class,2,1,Late delivery,1
75882,1/15/2018 16:29,Standard Class,3,4,Advance shipping,0
75881,1/14/2018 16:08,Standard Class,2,4,Advance shipping,0
75880,1/18/2018 15:47,Standard Class,6,4,Late delivery,1
75879,1/17/2018 15:26,Standard Class,5,4,Late delivery,1
75878,1/16/2018 15:05,Standard Class,4,4,Shipping on time,0
75877,1/15/2018 14:44,Standard Class,3,4,Advance shipping,0
75876,1/14/2018 14:23,Standard Class,2,4,Advance shipping,0
75875,1/18/2018 14:02,Second Class,6,2,Late delivery,1
75874,1/17/2018 13:41,Standard Class,5,4,Late delivery,1
75873,1/16/2018 13:20,Standard Class,4,4,Shipping on time,0
75872,1/15/2018 12:59,Standard Class,3,4,Advance shipping,0
75871,1/14/2018 12:38,First Class,2,1,Late delivery,1
75870,1/14/2018 12:17,First Class,2,1,Late delivery,1
75869,1/14/2018 11:56,First Class,2,1,Late delivery,1
75868,1/14/2018 11:35,First Class,2,1,Late delivery,1
75867,1/12/2018 23:14,Same Day,0,0,Shipping on time,0
75866,1/12/2018 22:53,Same Day,0,0,Shipping on time,0
75865,1/12/2018 22:32,Same Day,0,0,Shipping on time,0
75864,1/17/2018 10:11,Standard Class,5,4,Late delivery,1
75863,1/16/2018 9:50,Standard Class,4,4,Shipping on time,0
75862,1/15/2018 9:29,Standard Class,3,4,Advance shipping,0
75861,1/14/2018 9:08,Standard Class,2,4,Advance shipping,0
75860,1/18/2018 8:47,Standard Class,6,4,Late delivery,1
75859,1/17/2018 8:26,Standard Class,5,4,Shipping canceled,0
75858,1/16/2018 8:05,Second Class,4,2,Late delivery,1
75857,1/15/2018 7:44,Standard Class,3,4,Advance shipping,0
75856,1/14/2018 7:23,Second Class,2,2,Shipping on time,0
75855,1/14/2018 7:02,First Class,2,1,Late delivery,1
75854,1/17/2018 6:41,Second Class,5,2,Late delivery,1
75853,1/16/2018 6:20,Second Class,4,2,Late delivery,1
75852,1/15/2018 5:59,Standard Class,3,4,Advance shipping,0
75851,1/14/2018 5:38,Standard Class,2,4,Advance shipping,0
75850,1/18/2018 5:16,Standard Class,6,4,Late delivery,1
75849,1/17/2018 4:55,Standard Class,5,4,Late delivery,1
75848,1/16/2018 4:34,Second Class,4,2,Late delivery,1
75847,1/15/2018 4:13,Second Class,3,2,Shipping canceled,0
75846,1/14/2018 3:52,Standard Class,2,4,Advance shipping,0
75845,1/18/2018 3:31,Standard Class,6,4,Late delivery,1
75844,1/17/2018 3:10,Standard Class,5,4,Late delivery,1
75843,1/16/2018 2:49,Second Class,4,2,Late delivery,1
75842,1/15/2018 2:28,Standard Class,3,4,Advance shipping,0
75841,1/14/2018 2:07,Standard Class,2,4,Advance shipping,0
75840,1/18/2018 1:46,Second Class,6,2,Late delivery,1
75839,1/17/2018 1:25,Second Class,5,2,Late delivery,1
75838,1/14/2018 1:04,First Class,2,1,Late delivery,1
75837,1/14/2018 0:43,First Class,2,1,Late delivery,1
75836,1/14/2018 0:22,Second Class,2,2,Shipping on time,0
75835,1/18/2018 0:01,Second Class,6,2,Late delivery,1
75834,1/16/2018 23:40,Second Class,5,2,Late delivery,1
75833,1/13/2018 23:19,First Class,2,1,Late delivery,1
75832,1/13/2018 22:58,First Class,2,1,Late delivery,1
75831,1/13/2018 22:37,First Class,2,1,Late delivery,1
75830,1/17/2018 22:16,Standard Class,6,4,Late delivery,1
75829,1/16/2018 21:55,Standard Class,5,4,Late delivery,1
75828,1/15/2018 21:34,Standard Class,4,4,Shipping on time,0
75827,1/14/2018 21:13,Standard Class,3,4,Advance shipping,0
75826,1/13/2018 20:52,Standard Class,2,4,Advance shipping,0
75825,1/17/2018 20:31,Standard Class,6,4,Late delivery,1
75824,1/16/2018 20:10,Standard Class,5,4,Late delivery,1
75823,1/15/2018 19:49,Standard Class,4,4,Shipping on time,0
75822,1/14/2018 19:28,Standard Class,3,4,Advance shipping,0
75821,1/13/2018 19:07,Standard Class,2,4,Advance shipping,0
75820,1/17/2018 18:46,Standard Class,6,4,Late delivery,1
75819,1/16/2018 18:25,Standard Class,5,4,Late delivery,1
75818,1/15/2018 18:04,Standard Class,4,4,Shipping on time,0
75817,1/14/2018 17:43,Standard Class,3,4,Advance shipping,0
75816,1/13/2018 17:22,Standard Class,2,4,Advance shipping,0
75815,1/17/2018 17:01,Standard Class,6,4,Late delivery,1
75814,1/16/2018 16:40,Standard Class,5,4,Late delivery,1
75813,1/15/2018 16:19,Second Class,4,2,Late delivery,1
75812,1/14/2018 15:58,Second Class,3,2,Late delivery,1
75811,1/13/2018 15:37,First Class,2,1,Late delivery,1
75810,1/17/2018 15:16,Second Class,6,2,Late delivery,1
75809,1/16/2018 14:55,Second Class,5,2,Late delivery,1
75808,1/15/2018 14:34,Second Class,4,2,Late delivery,1
75807,1/12/2018 2:13,Same Day,1,0,Late delivery,1
75806,1/12/2018 1:52,Same Day,1,0,Late delivery,1
75805,1/12/2018 1:31,Same Day,1,0,Late delivery,1
75804,1/12/2018 1:10,Same Day,1,0,Late delivery,1
75803,1/12/2018 0:49,Same Day,1,0,Late delivery,1
